Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store,Number of Ratings
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Cotton Contrast Polo T-Shirt For Men - Polo T Shirt For Men - Polo T Shirt,550,239,57.0,Noor's World,87,0,97,Free Delivery,Cash on Delivery Available,No,126
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Quality Winter Jacket for Men - Jacket For Men - Winter Collection For Men - Jacket - Jacket For Men,699,419,40.0,Ahmed Trading International 2,83,0,87,Free Delivery,Cash on Delivery Available,No,78
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Men`s Winter Cotton White Long Sleeve Hoodie For Man,1250,950,24.0,Artexbd,83,0,79,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylist Winter Hoddie For Men,750,469,37.0,Shokher Bazar Gaz,75,0,98,Free Delivery,Cash on Delivery Available,No,11
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,LOCALE Polo Shirt For Men - Navy,750,290,61.0,LOCALE,89,100,96,Standard Delivery,Cash on Delivery Available,No,17
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Hoodie For Men - Hoodie,1299,579,55.0,MD8gZYOJ,85,0,99,Free Delivery,Cash on Delivery Available,No,117
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Stylis Three Quarter Pant for Men,199,185,7.0,FASHION SQUARE ZONE,73,0,92,Standard Delivery,Cash on Delivery Available,No,17
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Stylish Exprot Bonded Jacket For Men,1250,600,52.0,Winter Fashion BD,80,0,100,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,winter white denim jacket for men,1599,674,58.0,Alex Fashion,80,0,0,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Cotton Polo t-Shirt For Men,950,187,80.0,Top Up,86,0,93,Free Delivery,Cash on Delivery Available,No,601
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Men`s Winter Cotton Long Sleeve Hoodie For Man,650,399,39.0,Fashion 69 BD,78,0,99,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Winter Stylish Full Seleve Hodi Set Play Boy For Man,1250,844,32.0,Ritu Check,76,0,99,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Style Long Sleeve Hoodie - Hudi For Men,1290,455,65.0,khan shop bd..,83,0,95,Free Delivery,Cash on Delivery Available,No,9
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Men's Super Premium Thi Official Gabardine Pant.,750,703,6.0,Export Hut 1633854436,89,0,95,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Jents premium Quality Cotton Polo Shirt,450,224,50.0,Ahmed Trading International 2,83,0,87,Free Delivery,Cash on Delivery Available,No,23
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Men's Fashion - Black And Blue Color Combination Cotton Long Sleeve Hoodie - Hoodie - Hoodie For Men - Hoodie For Men - Hoodie - Hudi For Men,800,410,49.0,Elegant Creation,77,0,100,Free Delivery,Cash on Delivery Available,No,7
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Quality Parachute Fabrics Shorts,999,262,74.0,Trust Sports,79,0,97,Free Delivery,Cash on Delivery Available,No,107
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Manchester City Club Jersey polo t shirt for man By Rks fashion,550,197,64.0,RKS Mega Mall,72,0,99,Free Delivery,Cash on Delivery Available,No,11
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Stylish Casual Long Sleeve hoodie For Men - Hudi For Men - Hoodie For Men - Hoodie For Men - Hoodie - Hudi For Men,1050,355,66.0,Cross Fashion Wear,87,0,100,Free Delivery,Cash on Delivery Available,No,14
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Half Sleeve Cotton Polor Shirt for Men - Multicolor - Polo T Shirt,750,247,67.0,Brother Fashion,83,0,96,Free Delivery,Cash on Delivery Available,No,142
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Black Color Short Pant for Men,660,316,52.0,GoodMan,89,0,96,Free Delivery,Cash on Delivery Available,Yes,491
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Shironumhin Stylish Premium Printed Winter Hoodie For Men/ New Winter Hoodie Collection,599,329,45.0,Jihadi Fashion,80,0,38,Free Delivery,Cash on Delivery Available,No,7
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Cotton Casual Polo T-shirt for Men - Polo T Shirt,500,207,59.0,Noor's World,87,0,97,Free Delivery,Cash on Delivery Available,No,147
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,China Fabrics Stylish Soft Comfortable Trouser Formal Pant For Men's,500,353,29.0,Comport Fashion,80,0,93,Standard Delivery,Cash on Delivery Available,No,0
