Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Gym Exercise Yoga Mat,560,560,0,Premium Accessories,62,85,0,73,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Back massage magic stretcher fitness equipment Magic Waist Massager Relaxation Pain Relieve Fitness Equipment back pain relief device MAGIC BACK SUPPORT,750,350,53,SL BD,3,85,0,98,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Oma Mini Exercise Cycle Portable Folding Arm And Leg Pedal Exerciser With Digital Lcd Display Home Indoor Mini Exercise Bike - Fitness Mart,4200,3014,28,FITNESS MART,12,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Posterial Retraveful Shoulder Brace Supporting the Belt,399,195,51,Conquest Accessories and Fabrics,17,74,0,88,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mat Purple Non Slip Exercise & Fitness Mat All Types Yoga Pilates & Floor Exercises,1429,854,40,New Champion Sports.,95,87,0,92,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,New Eco Friendly Yoga Mat 6mm - Blue,1050,699,33,Sports House,227,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Orthopedic Posture Corrector - Fully Adjustable Magnetic Back Brace Belt for Men and Women, Upper and Lower Back Relief, Lumbar Support - Chair Back Support",1000,450,55,Styluxe,9,0,0,100,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Massage Roller - Multicolor - Citizen Sports,1500,740,51,Citizen Sports,4,82,0,68,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,DK-12AB - Multi System Motorized Treadmill - 2.0HP,52000,44139,15,Sports House,25,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Housefit Oma 1011eb Motorized Treadmill,52000,36133,31,JJ FITNESS & SPORTS,36,85,0,85,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mat 8mm Large Size,1250,1225,2,JJ FITNESS & SPORTS,2,85,0,85,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Exercise Mat 6 mm,950,610,36,JJ FITNESS & SPORTS,19,85,0,85,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Fitness World BD - Black colour Puzzle System Rubber Gym Floor Mat - 20 inch*20 inch*22 mm,650,440,32,Fitness World BD,2,77,0,54,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Adjusle Yoga Mat Elastic Belt Holder Strap Shoulder Carrier Fitness Supplies,258,217,16,SuperRide,3,86,100,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Cervical Massage Pad, Cervical Massage Patch Mini Portable Electric Massager Patch for Neck Shoulder Spondylosis(only pad) New Canvas",550,90,84,New Canvas,1,77,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Mat - Yoga Pati mat - 3 feet x 6 feet - 7mm,1803,911,49,Regal Sports,15,89,0,98,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"T600C MOTORIZED TREADMILL ,,MULTIFUNCTION '5 in1'",59900,38800,35,Sports Vision,4,70,0,92,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Non Slip Yoga and Exercise Mat 6mm,1490,690,54,Brother's Hardware,1174,88,0,98,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Foam Roller Back Muscel Main Exercise Item-45cm (Big Size) - Fitness Mart,1250,940,25,FITNESS MART,7,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Gym Exercise Yoga Mat Multicolor - 8mm,1380,749,46,C & K Mart,26,89,0,95,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Cervical Pillow RegularSoft,Durable,Cervical Spine Posture Orthopedic Neck Support Pillow",1200,489,59,Best Health,5,81,0,100,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Massage Roller (Big Size) - Multicolor,1350,850,37,Sports 360,25,85,0,100,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,YIJIAN DK-40AAP2M Motorized treadmill 2.0hp with free massager - Walking Stick - gym equipment,42000,32610,22,Sports House,79,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Cervical Massage Pad, Cervical Massage Patch Mini Portable Electric Massager Patch for Neck Shoulder Spondylosis(only pad) Bix Super Shop",550,86,84,Bix Super Shop,1,79,0,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Exercise Yoga Mat + Free Carrier,555,509,8,Premium Accessories,25,85,0,73,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mat For Exercrse & Fitness - 8 mm,1250,784,37,Fashion Plus BD,10,89,0,0,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Shoulder Bag Sports Gym Yoga Bag Storage Case Mat Carriers Mesh Bag Black SEVICH,234,150,36,SEVICH Store,0,77,100,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,2023 Best Folding Treadmill - OMA ELITE - 7215EB - Fitness Mart,68000,45540,33,FITNESS MART,1,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Bosny Silicone Spray For Treadmill Lubricant - 500ml (Thailand),1200,480,60,Xuwei Fitness,2,0,0,60,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"5 Way Manual Treadmill, USER MAXIMUM 150KG,HEAVYDUTY, - Black",20000,20000,0,Fitness & Sports,3,74,0,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,2X15cm Yoga Gym Bag Yoga Mat Bag Waterproof Backpack Yoga Pilates Mat Case Bag for Women,1512,761,50,LEMON (Shenzhen),2,86,100,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Grebest Yoga Short Socks Elastic Band Workout Ballet Five-Finger Ankle Socks,760,377,50,Grebest,0,87,100,100,Free Delivery,Cash on Delivery Available,No
