Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronics Devices,https://www.daraz.com.bd/smartphones/,Imam i12 Daisy (RAM-2GB/ROM-32GB)3700mAH Mobile Phone,4499,4399,2,Imam Telecom,10,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Redmi Note 12 Pro 5G | 8/256GB,37999,37290,2,Amaya,2,88,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,"HONOR 90 (5G), (12 GB+ 512 GB) Curve Display - Triple Rear Camera (200+12+2 MP) - 4900 mAh Battery - 1 Year Warranty",57999,55870,4,HONOR,1,97,0,89,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,iphone 15 Pro Max 256GB (HK) Smartphone - Unofficial,225990,185990,18,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Galaxy S21 Fe 8/128 Exynos (Unofficial),52999,47529,10,Phone Palace,1,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,ZTE Blade V40 Design (6/128GB) Smartphone - Unofficial,15999,13298,17,Alapon Computer,2,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Tecno CAMON 20 Pro (8/256GB) Smartphone,24990,24289,3,Alapon Computer,3,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Tecno POP 7 (2/64GB) Smartphone,9690,8989,7,Alapon Computer,3,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Redmi 12 (4GB+128GB) Unofficial,16999,15999,6,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Symphony Z55 RAM 4 GB/ROM 128 GB Mobile Phone Smartphone,12599,10999,13,SYMPHONY,69,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,vivo V29e 5G (8GB/256GB),36999,35618,4,vivo,0,92,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,iPhone 14 256GB (USA - LL/A) Smartphone - Unofficial,116990,109989,6,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,iPhone 14 128GB (USA) Smartphone - Unofficial,107990,96990,10,Alapon Computer,1,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme Narzo N55 (6GB RAM + 128GB) Unofficial Global Variant,18999,17819,6,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,WALTON Mobile Phone Primo S8 Mini (6GB/64GB) - Smartphone - Screen Size 16.5cm - 5000mAh High-Density Li-Polymer Battery,16699,12999,22,Walton,10,89,100,96,Standard Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A34 5G (8/256) 48 MP Camera Smartphone (Unofficial),40499,35999,11,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,HONOR X9A 5G (8GB RAM + 256GB) Unofficial,39999,34799,13,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Imam i10 Daffodil (RAM-4GB/ROM-64GB)3900mAH Big Battery Mobile Phone,5199,5099,2,Imam Telecom,11,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,OPPO A58(8/128GB),23990,23989,0,OPPO,0,82,100,93,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Tecno Spark 10C (4/128GB) Smartphone,12990,12649,3,Alapon Computer,3,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,"Samsung Galaxy A14 Smartphone - 4GB RAM, 64GB Storage",23999,23042,4,Samsung Mobile Bangladesh,9,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme 9 pro + (8gb/128gb) Mobile Phone Smartphone,36999,35937,3,Realme (Bangladesh),10,93,100,79,Free Delivery,Cash on Delivery Available,Yes
